names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
GIN4	1	1	0	0
SMT3	0	1	0	1
SLF1	0	1	0	1
EMI2	1	0	1	0
GRH1	1	1	0	0
FPR2	0	1	0	1
URC2	0	1	0	1
SPS1	0	1	0	1
HSP31	0	1	0	1
PAD1	0	1	0	1
IRC22	0	1	0	1
WBP1	1	1	0	0
GIM4	0	1	0	1
VAB2	0	1	0	1
UBC8	0	1	0	1
VAC8	0	1	0	1
EDC3	1	1	0	0
NPP2	0	1	0	1
GTT3	0	1	0	1
EAF5	1	1	0	0
MMS21	0	1	0	1
GEA2	1	0	1	0
YEL023C	0	1	0	1
SNU13	0	1	0	1
ECM10	0	1	0	1
HYP2	0	1	0	1
ANP1	1	1	0	0
RAD23	0	1	0	1
CYC7	0	1	0	1
UTR2	0	1	0	1
YEF1	0	1	0	1
YEL043W	0	1	0	1
IES6	0	1	0	1
RML2	0	1	0	1
VMA8	1	1	0	0
RPL12A	1	1	0	0
POL5	1	1	0	0
HAT2	1	1	0	0
YEL057C	0	1	0	1
PRB1	0	1	0	1
CIN8	0	1	0	1
DSF1	0	1	0	1
MNN1	0	1	0	1
PMI40	0	1	0	1
FMP52	0	1	0	1
NUG1	1	1	0	0
TMA20	1	0	1	0
PAC2	0	1	0	1
SEC3	1	0	1	0
PRE1	1	1	0	0
PRP22	1	1	0	0
BIM1	0	1	0	1
AFG3	1	0	1	0
GPA2	0	1	0	1
RPN3	1	1	0	0
SRB4	1	1	0	0
PRO3	0	1	0	1
GCD11	1	1	0	0
GAL83	1	1	0	0
SMB1	1	1	0	0
CHZ1	0	1	0	1
YPT31	1	0	1	0
FIR1	0	1	0	1
ZRG8	0	1	0	1
EDC2	0	1	0	1
ARB1	1	0	1	0
GLN3	0	1	0	1
YEN1	0	1	0	1
SAH1	0	1	0	1
CAJ1	0	1	0	1
ISD11	1	0	1	0
TPA1	0	1	0	1
RSM18	0	1	0	1
PCL6	0	1	0	1
FCY21	0	1	0	1
THO1	0	1	0	1
VHR2	0	1	0	1
ICL1	0	1	0	1
MOT2	0	1	0	1
"""ARG5,6"	0	1	0	1
RNR1	1	1	0	0
TDA2	1	1	0	0
UTP7	1	0	1	0
GET2	0	1	0	1
ILV1	1	1	0	0
DOT6	0	1	0	1
PTC2	1	1	0	0
TRP2	1	1	0	0
MET6	1	1	0	0
IES5	1	1	0	0
PUP3	1	1	0	0
RAD51	1	1	0	0
UBP9	0	1	0	1
SSA4	1	0	1	0
GLE2	1	1	0	0
KAP123	1	1	0	0
SWI4	1	1	0	0
LSM4	1	1	0	0
BOI2	1	0	1	0
SLX8	0	1	0	1
SCS2	1	1	0	0
GLO3	0	1	0	1
RSP5	0	1	0	1
NSA2	1	0	1	0
LCP5	0	1	0	1
SAK1	1	0	1	0
RPS26B	0	1	0	1
PMD1	0	1	0	1
GLC7	1	1	0	0
GDI1	1	1	0	0
RTR1	1	1	0	0
DDI1	0	1	0	1
FTR1	0	1	0	1
LSM5	1	1	0	0
SCC4	0	1	0	1
SPT15	1	1	0	0
PEA2	0	1	0	1
UBP3	1	1	0	0
BEM2	1	1	0	0
YER156C	0	1	0	1
COG3	1	0	1	0
SPT2	0	1	0	1
RAD4	0	1	0	1
CHD1	1	1	0	0
PAB1	1	0	1	0
DNF1	0	1	0	1
CCA1	0	1	0	1
RAD3	1	1	0	0
BRR2	1	1	0	0
GRX4	0	1	0	1
BMH1	1	1	0	0
PDA1	1	1	0	0
DMC1	0	1	0	1
YER184C	0	1	0	1
SPB4	1	1	0	0
BLM10	1	0	1	0
SMC1	1	1	0	0
IES1	1	1	0	0
HSP12	0	1	0	1
MDJ1	0	1	0	1
GNA1	0	1	0	1
SMX2	0	1	0	1
LPD1	1	0	1	0
GAT1	0	1	0	1
FRS2	1	1	0	0
EPL1	1	1	0	0
STE2	0	1	0	1
CAK1	0	1	0	1
RIM15	0	1	0	1
YFL034W	1	1	0	0
TUB2	1	1	0	0
YPT1	1	1	0	0
ACT1	1	0	1	0
FET5	0	1	0	1
OTU1	0	1	0	1
SEC53	1	0	1	0
SWP82	1	1	0	0
YFL054C	0	1	0	1
LOC1	1	1	0	0
NIC96	1	1	0	0
YPI1	0	1	0	1
RPN11	1	1	0	0
YFR006W	1	0	1	0
FAR7	0	1	0	1
GCN20	1	1	0	0
UBP6	1	1	0	0
IOC3	1	1	0	0
CMK1	0	1	0	1
GSY1	0	1	0	1
IGD1	0	1	0	1
FAB1	1	1	0	0
ROG3	0	1	0	1
LSB3	1	1	0	0
HIS2	0	1	0	1
CDC14	1	1	0	0
MET10	1	1	0	0
SMC2	0	1	0	1
RPL2A	1	0	1	0
RRT5	0	1	0	1
PHO4	0	1	0	1
CDC26	0	1	0	1
RSC8	1	1	0	0
SAP155	1	1	0	0
IRC6	0	1	0	1
DUG1	1	1	0	0
RMD8	0	1	0	1
YMR31	1	0	1	0
PRE4	1	1	0	0
RET2	1	1	0	0
RPN12	1	1	0	0
HXK1	0	1	0	1
IRC7	0	1	0	1
ERG26	1	0	1	0
RPN14	0	1	0	1
COG7	1	0	1	0
PMA1	0	1	0	1
LEU1	0	1	0	1
SCL1	1	1	0	0
PDR1	1	0	1	0
PUF4	0	1	0	1
KAP122	1	1	0	0
ATE1	0	1	0	1
CKB1	1	1	0	0
GET1	0	1	0	1
STT3	1	1	0	0
PGD1	1	1	0	0
CWH41	0	1	0	1
RPL30	1	0	1	0
RPL24A	1	0	1	0
MIG1	0	1	0	1
YGL039W	1	1	0	0
DST1	0	1	0	1
RNA15	1	0	1	0
RIM8	0	1	0	1
RPT6	1	1	0	0
TIF4632	1	1	0	0
TYW3	0	1	0	1
OLE1	0	1	0	1
RAD6	0	1	0	1
DUO1	0	1	0	1
PYC1	0	1	0	1
PUS2	0	1	0	1
MRH4	0	1	0	1
SGF73	1	1	0	0
NPY1	0	1	0	1
MNP1	0	1	0	1
RPB9	1	1	0	0
HSF1	0	1	0	1
RPL7A	1	0	1	0
DBP3	0	1	0	1
KXD1	0	1	0	1
YGL082W	0	1	0	1
MMS2	0	1	0	1
NUP145	1	1	0	0
PAN2	1	1	0	0
VPS45	0	1	0	1
TOS8	0	1	0	1
SRM1	0	1	0	1
USE1	1	0	1	0
LSG1	1	1	0	0
SEH1	1	1	0	0
RPL28	1	0	1	0
